127.0.0.1 - - [07/Mar/2017:22:08:07 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/pic/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/pic/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/pic/Login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/pic/indexbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/pic/indexs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:08 +0800] "GET /test/pic/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:13 +0800] "GET /test/pic/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:16 +0800] "GET /test/pic/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:20 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:08:20 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:24:59 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:24:59 +0800] "GET /test/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:00 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:00 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:02 +0800] "GET /test/Register.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:02 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:06 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:06 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:06 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:06 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:10 +0800] "GET /test/Login.jsp HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:10 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:10 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:12 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:12 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Mar/2017:22:25:13 +0800] "GET /test/index.html HTTP/1.1" 304 -
