127.0.0.1 - - [22/Apr/2017:15:10:08 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/Css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/pic/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/pic/Login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/pic/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/pic/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:09 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:12 +0800] "GET /tlweb/pic/indexbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:12 +0800] "GET /tlweb/pic/indexs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:14 +0800] "GET /tlweb/pic/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:17 +0800] "GET /tlweb/pic/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:19 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:19 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:19 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:10:19 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:11:02 +0800] "GET /tlweb/Login.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:11:02 +0800] "GET /tlweb/Css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:11:02 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Apr/2017:15:11:02 +0800] "GET /favicon.ico HTTP/1.1" 404 973
