127.0.0.1 - - [05/Jul/2017:12:12:14 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/index.html HTTP/1.1" 200 7107
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/Css/index.css HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/pic/1.jpg HTTP/1.1" 200 68333
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/pic/Login.jpg HTTP/1.1" 200 183420
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/pic/2.jpg HTTP/1.1" 200 124776
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/pic/logo.png HTTP/1.1" 200 747520
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:15 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:18 +0800] "GET /tlweb/pic/indexbg.png HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:18 +0800] "GET /tlweb/pic/indexs.png HTTP/1.1" 200 24109
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:20 +0800] "GET /tlweb/pic/3.jpg HTTP/1.1" 200 912006
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:22 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:22 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:22 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:23 +0800] "GET /tlweb/pic/4.jpg HTTP/1.1" 200 569732
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:23 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:24 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:24 +0800] "GET /tlweb/Css/pic/indexs.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:12:24 +0800] "GET /tlweb/Css/pic/indexbg.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:13:17 +0800] "GET /tlweb/Login.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:13:17 +0800] "GET /tlweb/Css/Login.css HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [05/Jul/2017:12:13:18 +0800] "GET /favicon.ico HTTP/1.1" 404 973
